name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,min_lat,max_lat,min_long,max_long,Stations_in_Range,Thunder_Instances,Area_Thunder_Average,Landing_Thunder_above_Average
Berthoud,47355,Valid,Eucrite-mmict,960.0,Fell,2004.0,40.30583,-105.02325,"(40.30583, -105.02325)",40.16126014714641,40.45039985285359,-105.21282435617583,-104.83367564382418,"[{'NAME': 'FORT COLLINS AWOS, CO US', 'LATITUDE': 40.45, 'LONGITUDE': -105.017}]",70,38.16759002770083,1.8340167652502086
Santa Lucia (2008),50909,Valid,L6,4000.0,Fell,2008.0,-31.535556,-68.489444,"(-31.535556, -68.489444)",-31.680125852853596,-31.39098614714641,-68.65906408114647,-68.31982391885354,"[{'NAME': 'SAN JUAN, AR', 'LATITUDE': -31.571472, 'LONGITUDE': -68.418194}]",31,14.696570644718792,2.1093356232149194
Thuathe,23976,Valid,H4/5,45300.0,Fell,2002.0,-29.33333,27.58333,"(-29.33333, 27.58333)",-29.477899852853593,-29.18876014714641,27.417497876867003,27.74916212313299,"[{'NAME': 'MOSHOESHOE I INTERNATIONAL, LT', 'LATITUDE': -29.462256, 'LONGITUDE': 27.552503}, {'NAME': 'MEJAMETALANA, LT', 'LATITUDE': -29.304053, 'LONGITUDE': 27.503458}]",36,20.247141915783466,1.7780287286837528
Tessera,23905,Valid,H4,51.3,Found,2000.0,45.50833,12.30833,"(45.50833, 12.30833)",45.363760147146415,45.652899852853594,12.102038981810649,12.51462101818935,"[{'NAME': 'TREVISO, IT', 'LATITUDE': 45.6484, 'LONGITUDE': 12.194422}, {'NAME': 'VENEZIA TESSERA, IT', 'LATITUDE': 45.505142, 'LONGITUDE': 12.351883}]",53,34.57922745398043,1.5327120905328135
