NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,AVERAGE,WEIGHTED_AVERAGE
"JAN MAYEN NOR NAVY, NO",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.2996983822319715
"SORSTOKKEN, NO",6.0,5.0,5.0,4.0,7.0,4.0,5.0,5.0,2.0,4.0,4.7,4.651569186875892
"BRINGELAND, NO",6.0,2.0,8.0,6.0,4.0,0.0,2.0,6.0,0.0,5.0,3.9,3.893977241187899
"RORVIK RYUM, NO",3.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.9,1.9054555841188232
"FRIGG, NO",2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.38785834738617203
"HORNSUND, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.09450171821305842
"LONGYEAR, SV",1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.6,0.5997260273972602
"ANDOYA, NO",2.0,3.0,8.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,2.4,2.4023555190358805
"HEKKINGEN FYR, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AKSELOYA, SV",0,,,,,,,,,,0.0,0.0
"BARDUFOSS, NO",0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,1.2,1.1989041095890411
"TROMSO, NO",2.0,5.0,3.0,3.0,2.0,0.0,3.0,0.0,3.0,3.0,2.4,2.39967150287435
"BJORNOYA ISLAND, NO",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.2996983822319715
"OVERBYGD, NO",0,,0,,,,,,,,0.0,0.0
"TORSVAG FYR, NO",0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,2.0,1.1,1.099747828523396
"FUGLOYKALVEN FYR, NO",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.20199100834938985
"LYNGEN GJERDVASSBU, NO",0,0,0,0,,0,0,0,1,0,0.1111111111111111,0.1901595744680851
"NORDSTRAUM I KVAENANGEN, NO",0,0,,0,,,,,,,0.0,0.0
"SORKJOSEN, NO",0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8,0.7994959395127416
"KAUTOKEINO II, NO",1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.8,0.8306351183063512
"ALTA, NO",2.0,3.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,3.0,1.8,1.7965962119132584
"SUOLOVUOPMI, NO",0,0,,,,,,,,,0.0,0.0
"HAMMERFEST AIRPORT, NO",1.0,4.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.7,1.7029185022026432
"FRUHOLMEN FYR, NO",1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7,0.6996437380104138
"BANAK, NO",2.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,0.0,4.0,2.0,1.9831398562741847
"HOPEN ISLAND, NO",1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.4002747252747253
"KARASJOK, NO",1,0,0,2,1,1,0,0,0,,0.5555555555555556,0.6927678085916259
"HONNINGSVAG VALAN, NO",0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.7,0.6954791015069661
"MEHAMN, NO",0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.3076923076923077
"RUSTEFJELBMA, NO",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.10296953335904357
"SLETTNES FYR, NO",1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.4986225895316804
"BERLEVAG, NO",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.7,0.7050553395154053
"VADSO, NO",2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,1.3,1.3014726312864684
"HOYBUKTMOEN, NO",4.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,1.0,5.0,3.2,3.1992872807017543
"MAKKAUR FYR, NO",0,,0,,,,,,0,0,0.0,0.0
"VARDO, NO",0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6,0.6000548245614035
"SKLINNA FYR, NO",1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.9,0.9007403345215246
"LEKA, NO",0,0,0,0,0,0,0,0,0,,0.0,0.0
"ROEST III, NO",1,0,0,0,1,0,0,0,,,0.25,0.27462913655382276
"ROST NOR AFB, NO",2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7,0.7568745808182428
"BRONNOY, NO",8.0,3.0,8.0,4.0,1.0,2.0,2.0,5.0,2.0,2.0,3.7,3.709176601053507
"DAGALI, NO",0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,7.0,10.0,2.3,2.3143475126171595
"MYKEN, NO",1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.7,0.743562978427279
"STOKKA, NO",11.0,3.0,11.0,6.0,4.0,4.0,2.0,6.0,4.0,2.0,5.3,5.2979839823253245
"SOLVAER III, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1661554192229039
"KJAERSTAD, NO",5.0,0.0,6.0,2.0,4.0,1.0,2.0,3.0,3.0,0.0,2.6,2.601328903654485
"TENNHOLMEN LGT H, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LEKNES, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.10025203024362923
"MOIRANA, NO",3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0024827586206897
"BODO, NO",6.0,9.0,13.0,4.0,6.0,2.0,2.0,3.0,2.0,1.0,4.8,4.801369863013699
"BO I VESTERALEN II, NO",0,0,0,0,,,,,,,0.0,0.0
"SKROVA FYR, NO",1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.8,0.8004391984628054
"SVOLVAER HELLE, NO",1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.1,1.0985290036081043
"STORKMARKNES SKAGEN, NO",0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.492973580663294
"SORTLAND, NO",2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6,0.6026417171161255
"KLEIVA I SORTLAND, NO",0,,,,,,,,,,0.0,0.0
"FINNOY I HAMAROY, NO",0,0,0,,,,,,,,0.0,0.0
"EVENES, NO",0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.7980132450331126
"NARVIK III, NO",1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.6,0.6043429216018048
"SIHCCAJAVRI, NO",0,0,0,0,0,,0,0,0,0,0.0,0.0
"KRAKENES, NO",0,,,,,,,,,,0.0,0.0
"SVINOY LH, NO",5.0,3.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,1.9,1.8965138622014823
"ORSTA VOLDA HOVDEN, NO",12.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,3.5,3.4322396576319543
"VIGRA, NO",22.0,8.0,8.0,11.0,3.0,6.0,4.0,8.0,1.0,1.0,7.2,7.204782847718526
"ONA II, NO",1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,3.0,1.2,1.1950747094631986
"HJELVIK I ROMSDAL, NO",1,0,0,,,,,,,,0.3333333333333333,0.32978723404255317
"ARO, NO",8.0,3.0,0.0,7.0,4.0,3.0,4.0,3.0,1.0,0.0,3.3,3.2985938792390406
"TAFJORD, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KVERNBERGET, NO",2.0,2.0,3.0,2.0,4.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0
"AALESUND, NO",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09495934959349593
"INNERDALEN, NO",1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6,0.5786820309686712
"SULA, NO",3.0,1.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.4,1.478522078702313
"LESJASKOG, NO",1,0,0,0,,,,,,,0.25,0.3333333333333333
"FOKSTUA II, NO",1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,0.39966740576496673
"HALTEN FYR, NO",0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.8,1.139240506329114
"ORLAND, NO",7.0,3.0,5.0,4.0,1.0,4.0,3.0,4.0,6.0,4.0,4.1,4.099972610243769
"OPPDAL SETER, NO",0,,,0,0,0,0,,,,0.0,0.0
"BERKAK LYNGHOLT, NO",0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.7,0.8199129488574538
"NORDOYAN FYR, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1244047619047619
"VAERNES, NO",4.0,9.0,3.0,6.0,3.0,2.0,0.0,4.0,4.0,1.0,3.6,3.5995617639003012
"NAMDALSEID VENGSTAD, NO",0,0,0,1,1,0,0,0,,0,0.2222222222222222,0.4117647058823529
"ROROS, NO",0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.7,0.6735015772870663
"ROROS LUFTHAVN, NO",1.0,1.0,2.0,2.0,1.0,3.0,3.0,11.0,0.0,0.0,2.4,2.3959390862944163
"NAMSOS AIRPORT, NO",1.0,4.0,5.0,3.0,1.0,4.0,1.0,3.0,3.0,0.0,2.5,2.500416319733555
"MERAKER UTSYN, NO",0,,,,,0,0,,,0,0.0,0.0
"YTTEROYANE FYR, NO",0.0,1.0,3.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,1.3,1.3166953528399312
"HELLISOY FYR, NO",6,2,4,,,,,,,,4.0,4.004232804232804
"FLORO, NO",9.0,9.0,15.0,9.0,10.0,6.0,7.0,9.0,3.0,3.0,8.0,8.00718629076838
"FLESLAND, NO",40.0,16.0,21.0,21.0,13.0,14.0,6.0,8.0,8.0,10.0,15.7,15.700356066831006
"BERGEN FLORIDA, NO",17.0,11.0,11.0,9.0,16.0,10.0,5.0,7.0,6.0,9.0,10.1,10.103220478943022
"SANDANE ANDA, NO",4.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,3.0,1.6,1.5970481759955444
"MODALEN II, NO",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.29281974569932684
"EIDFJORD BU, NO",0,,,0,,0,0,0,0,1,0.14285714285714285,0.4024896265560166
"SOGNDAL HAUKASEN, NO",9.0,1.0,7.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,2.7,2.708786610878661
"FINSE III, NO",0,0,0,0,0,,,,,,0.0,0.0
"FILEFJELL, NO",0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.6,0.6114671163575042
"FAGERNES, NO",0.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,0.0,1.0,1.4,1.4058252427184466
"LEIRIN, NO",1.0,0.0,4.0,4.0,5.0,1.0,3.0,8.0,0.0,5.0,3.1,3.089907710628163
"NESBYEN SKOGLUND, NO",0,0,2,1,0,,0,1,0,0,0.4444444444444444,0.5293484114162628
"VEST TORPA II, NO",1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5631238990017615
"GULLFAX PLATFORM, NO",8.0,0.0,2.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,2.2,2.2022502744237102
"LILLEHAMMER SAETHERENGEN, NO",0,0,0,0,0,,,,,,0.0,0.0
"VENABU, NO",0,,,0,0,0,0,2,0,0,0.25,0.5820568927789934
