NAME,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,AVERAGE,WEIGHTED_AVERAGE
"SAARBRUCKEN, GM",19,24,,22,27,21,27,20,24,26,23.333333333333332,23.329541961266525
"SEMBACH USAFB, GM",10,,,10,0,0,15,12,15,14,9.5,12.553589484327604
"ZWEIBRUECKEN, GM",18,,,25,23,27,21,16,21,17,21.0,21.0467356403853
"COLEMAN ARMY AIR FIELD COLEMAN BARRACKS GERMANY, GM",15,,,21,20,30,19,13,15,11,18.0,17.984647592463364
"HEIDELBERG ARMY AIR FIELD, GM",23.0,26.0,13.0,31.0,34.0,36.0,24.0,22.0,29.0,26.0,26.4,27.05017301038062
"STUTTGART, GM",25,24,,24,62,57,46,30,49,40,39.666666666666664,42.75302752293578
"SCHWABISCH HALL, GM",23,,,6,16,17,16,9,14,11,14.0,14.478999528079283
"ILLESHEIM AHP, GM",9.0,9.0,6.0,4.0,11.0,6.0,9.0,2.0,5.0,1.0,6.2,6.379890453834116
"ANSBACH AHP KATTERBACH GERMANY, GM",9,,,8,12,11,12,8,9,5,9.25,9.230225988700566
"NURNBERG, GM",15,24,,26,30,27,21,16,38,19,24.0,23.99446324207936
"FURTH USA HP, GM",8,4,,,,,,,,,6.0,7.104622871046229
"FEUCHT USA\AF, GM",15,,,28,21,24,16,10,21,12,18.375,18.45451364590623
"HOHENFELS ARMY AIR FIELD, GM",17,,,7,12,20,12,13,21,10,14.0,14.019092219020173
"REGENSBURG OBERHUB, GM",21,26,,18,23,30,22,24,29,27,24.444444444444443,24.410074165636587
"FREIBURG CIV FAFB, GM",23,30,,21,24,18,28,26,23,32,25.0,24.965220067713144
"AUGSBURG, GM",24,20,,18,23,28,22,26,26,31,24.22222222222222,24.252540806898676
"MUNCHEN, GM",21,30,,31,35,36,27,33,44,30,31.88888888888889,31.894331484904498
"PASSAU, GM",26,22,,22,23,26,25,24,27,20,23.88888888888889,23.903235747303544
"FRIEDRICHSHAFEN, GM",24,19,,16,20,19,16,1,,6,15.125,17.181628392484342
"ZUGSPITZE MOUNTAIN, GM",35,32,,30,34,38,29,24,33,28,31.444444444444443,31.430329129498617
"BAD TOLZ USA AF AND, GM",26.0,21.0,18.0,16.0,15.0,22.0,20.0,13.0,5.0,0.0,15.6,16.904440497335703
"S. VALENTINO ALLA MUTA, IT",18,0,,10,13,11,10,19,11,6,10.88888888888889,12.154861111111112
"BOLZANO, IT",33,0,,32,32,26,35,33,28,37,28.444444444444443,31.056258322237017
"AVIANO USAF, IT",57,,,68,56,67,70,54,55,56,60.375,60.38266529633436
"TARVISIO, IT",21,1,,31,35,39,31,36,28,26,27.555555555555557,29.939808481532147
"UDINE CAMPOFORMIDO, IT",31,2,,41,42,55,48,48,21,,36.0,40.91265306122449
"PIAN ROSA MTN TOP, IT",17,0,,21,17,21,21,17,6,12,14.666666666666666,16.070936639118457
"TORINO CASELLE, IT",35,0,,45,44,52,64,48,39,43,41.111111111111114,44.869015957446805
"MALPENSA, IT",42,2,,58,41,53,65,62,57,49,47.666666666666664,51.84285714285714
"LINATE, IT",32,2,,37,34,43,68,45,45,44,38.888888888888886,42.26744186046512
"VILLAFRANCA, IT",33,0,,49,46,54,58,53,55,41,43.22222222222222,47.17281488866733
"VENEZIA TESSERA, IT",46,2,,56,64,50,49,47,42,41,44.111111111111114,47.95144662454273
"TRIESTE, IT",22,2,,11,8,32,14,22,20,20,16.77777777777778,18.125084061869536
"GENOVA SESTRI, IT",21,4,,44,41,51,65,61,50,49,42.888888888888886,46.443484042553195
"PARMA, IT",10,0,,31,27,29,41,27,15,,22.5,25.574277574277573
"CIMONE MOUNTAIN, IT",27,2,,48,39,29,45,43,39,41,34.77777777777778,37.78289913159653
"POINT MARINA RAVENN, IT",15,0,,26,20,23,24,26,22,17,19.22222222222222,20.995619946091644
"CAPE MELE, IT",13,5,,29,31,27,36,25,22,23,23.444444444444443,25.130738522954093
"PISA, IT",18,2,,41,30,40,68,44,47,34,36.0,39.11532070455301
"FIRENZE, IT",23,2,,22,25,21,41,33,25,30,24.666666666666668,26.74418604651163
"PERUGIA, IT",25,2,,32,36,36,44,29,33,26,29.22222222222222,31.70748752079867
"ANCONA, IT",29,1,,43,38,46,49,56,23,,35.625,40.424724602203185
"PIANOSA ISLAND, IT",4,0,,6,6,25,12,7,0,,7.5,9.582854406130268
"GROSSETO, IT",19,4,,31,34,43,62,40,43,45,35.666666666666664,38.566112956810635
"TERMINILLO MOUNTAIN, IT",21,1,,28,28,33,46,23,28,35,27.0,29.361993977919038
"PESCARA, IT",13,2,,17,16,18,22,26,18,17,16.555555555555557,17.885343968095714
"FIUMICINO, IT",16,5,,29,34,46,67,36,52,44,36.55555555555556,39.4473246925889
"CAMPOBASSO, IT",3,0,,7,15,14,22,18,17,24,13.333333333333334,14.554402410445263
"GRAZZANISE, IT",13,,,19,32,41,46,20,37,39,30.875,32.70607553366174
"AMENDOLA, IT",22,1,,40,29,47,66,29,34,46,34.888888888888886,37.991362126245846
"BARI, IT",12,3,,31,42,36,51,25,28,27,28.333333333333332,30.65282392026578
"PONZA ISLAND, IT",15,5,,36,21,38,44,24,38,33,28.22222222222222,30.33832833832834
"NAPOLI CAPODICHINO, IT",33,13,,51,52,45,69,33,50,62,45.333333333333336,48.2884679295447
"POTENZA, IT",12,1,,14,16,21,43,17,23,25,19.11111111111111,20.754597124707455
"CAPE PALINURO, IT",25,5,,41,47,35,35,39,38,46,34.55555555555556,37.253248917027655
"CASALE, IT",22,7,,43,43,27,67,31,30,36,34.0,36.48006644518272
"MARINA DI GINOSA, IT",15,1,,12,6,8,20,8,10,12,10.222222222222221,11.058724832214764
"BONIFATI CAPE, IT",11,3,,5,17,12,22,13,10,0,10.333333333333334,12.678412312677198
"CROTONE, IT",15,3,,22,18,16,24,13,14,17,15.777777777777779,16.94749086075108
"SANTA MARIA DI LEUC, IT",28,7,,27,32,20,50,14,22,20,24.444444444444443,26.046395193591454
"USTICA ISLAND, IT",10,1,,21,25,11,17,10,24,31,16.666666666666668,18.087449933244326
"PALERMO, IT",5,10,,31,38,25,51,19,38,32,27.666666666666668,29.28936877076412
"MESSINA, IT",6,0,,11,9,9,12,13,20,20,11.11111111111111,12.12811980033278
"TRAPANI BIRGI, IT",2,3,,13,18,21,30,21,45,30,20.333333333333332,21.92146422628952
"GELA, IT",3,3,,9,14,12,12,6,13,7,8.777777777777779,9.267005076142132
"CATANIA FONTANAROSSA, IT",8,3,,24,23,25,37,12,25,27,20.444444444444443,22.0421926910299
"PANTELLERIA, IT",18,2,,18,17,25,27,17,24,25,19.22222222222222,20.791084497671324
"COZZO SPADARO, IT",2,1,,14,5,11,10,8,16,15,9.11111111111111,9.84025452109846
"LAMPEDUSA, IT",3,3,,15,12,21,11,14,18,17,12.666666666666666,13.541388518024032
"ASINARA ISLAND, IT",5,3,,14,8,0,,,,,6.0,8.927551020408163
"GUARDIAVECCHIA, IT",5,1,,22,14,23,28,13,10,14,14.444444444444445,17.137349397590363
"ALGHERO, IT",18,5,,30,29,35,60,32,29,43,31.22222222222222,33.622487223168655
"OLBIA COSTA SMERALDA, IT",8,4,,17,8,5,18,16,11,19,11.777777777777779,13.297854077253218
"CAPE FRASCA, IT",11,5,,24,22,28,22,31,6,18,18.555555555555557,20.363538681948423
"CAPE BELLAVISTA, IT",15,5,,21,11,23,24,10,11,12,14.666666666666666,15.742897229042441
"ELMAS, IT",7,5,,25,33,23,49,29,32,43,27.333333333333332,29.382392026578074
"LUQA, MT",18,6,,72,62,71,46,26,36,38,41.666666666666664,44.91622340425532
"KOMOTINI, GR",0,0,,,,,,,,,0.0,0.0
"FLORINA, GR",0,,,9,6,13,12,8,9,16,9.125,9.845117845117844
"SEDES GAFB, GR",0,,,,,,,,,,0.0,0.0
"MAKEDONIA, GR",16,3,,39,30,46,43,30,28,36,30.11111111111111,32.60554442217769
"KAVALA AMIGDHALEON, GR",0,,,,,,,,,,0.0,0.0
"DIMOKRITOS, GR",13,2,,25,16,20,33,19,16,25,18.77777777777778,20.33355749831876
"FILIPPOS, GR",0,,,,,,,,,,0.0,0.0
"IOANNIS KAPODISTRIAS INTERNATIONAL, GR",41,21,,62,62,50,62,48,60,55,51.22222222222222,53.973017988007996
"IOANNINA AIRPORT, GR",24,2,,,,,,,,,13.0,20.24884792626728
"LARISA, GR",14,2,,35,17,28,23,12,9,21,17.88888888888889,19.35148514851485
"LIMNOS ISLAND AIRPORT, GR",13,4,,7,7,22,13,3,,,9.857142857142858,12.97427652733119
"VOLOS AIRPORT, GR",0,,,,,,,,,,0.0,0.0
"SKOPELOS ISLAND, GR",7,,,,,,,,,,7.0,7.0
"NEA ANCHIALOS, GR",13,1,,23,5,,,,,,10.5,12.943231441048034
"MITILINI, GR",21,9,,14,21,19,22,18,25,24,19.22222222222222,20.15954224166947
"LEFKAS, GR",25,,,,,,,,,,25.0,25.0
"ALIARTOS, GR",2,0,,,,,,,,,1.0,1.6
"ANDRAVIDA, GR",23,14,,43,28,46,35,26,41,41,33.0,34.9638426090039
"KIMI, GR",9,1,,,,,,,,,5.0,7.679245283018868
"SKIROS, GR",11,4,,4,14,21,12,12,10,8,10.666666666666666,11.24475764867652
"KEFALLINIA, GR",12,3,,,,,,,,,7.5,10.496567505720824
"ARAXOS, GR",24,16,,29,17,,,0,,,17.2,22.965631929046562
"PATRAI, GR",1,,,,,,,,,,1.0,1.0
"TANAGRA, GR",9,3,,16,6,,,0,,,6.8,9.72975929978118
"ATHINAI FILADELFIA, GR",1,,,,,,,,,,1.0,1.0
"CHIOS DODECANESE IS, GR",19,10,,,,,,,,,14.5,17.38
"ZAKYNTHOS, GR",15,7,,,,,,,,,11.0,13.553191489361701
"TRIPOLIS, GR",21,7,,18,20,28,26,19,24,37,22.22222222222222,23.629691689008045
"CORINTH RUINS, GR",0,,,,,,,,,,0.0,0.0
"TATOI, GR",0,,,,,,,,,,0.0,0.0
"ATHINAI, GR",16,6,,15,21,25,22,19,22,23,18.77777777777778,19.942704863424385
"PIRAEUS, GR",1,,,,,,,,,,1.0,1.0
"ELEFSIS, GR",4,,,16,10,23,23,17,16,20,16.125,17.501947040498443
"SAMOS ISLAND, GR",3,7,,18,20,24,20,15,14,,15.125,17.672248803827753
"KALAMATA, GR",14,,,,,,,,,,14.0,14.0
"SIROS ISLAND, GR",6,2,,,,,,,,,4.0,5.385474860335195
"NAXOS, GR",20,14,,9,16,14,22,13,23,13,16.0,16.184527796383122
"METHONI, GR",7,1,,17,34,33,26,21,43,30,23.555555555555557,25.644436883293636
"MILOS, GR",3,4,,4,11,12,10,12,16,21,10.333333333333334,11.860816944024206
"KOS ISLAND, GR",13,7,,,,,,,,,10.0,12.005917159763314
"KITHIRA, GR",12,6,,16,16,7,5,7,12,6,9.666666666666666,10.02372077261945
"SOUDA, GR",12,3,,17,8,16,9,8,7,16,10.666666666666666,11.496275274920185
"KHANIA, GR",2,,,,,,,,,,2.0,2.0
"DIAGORAS, GR",21,14,,25,31,27,33,9,24,20,22.666666666666668,23.442371752165222
"NIKOS KAZANTZAKIS, GR",13,20,,20,26,37,27,23,24,31,24.555555555555557,24.9653564290473
"IERAPETRA, GR",4,1,,,,,,,,,2.5,3.553370786516854
"SITIA, GR",11,5,,,,,,,,,8.0,10.150943396226415
"RETHYMNON, GR",3,0,,,,,,,,,1.5,2.980769230769231
"TYMBAKION AIRPORT, GR",7,2,,,,,,,,,4.5,6.133016627078385
"VIKTORIYA ISLAND, RS",1,1,,1,5,4,0,2,1,1,1.7777777777777777,1.8549488054607508
"NAGURSKOYE, RS",3,0,,6,7,7,2,1,1,2,3.2222222222222223,3.4478126076472613
"POLARGMO IM. E.T. KRENKELJA, RS",3,1,,2,5,3,1,2,3,1,2.3333333333333335,2.413648124191462
"TIKHAYA BAY, RS",2,1,,1,0,5,2,1,2,1,1.6666666666666667,1.7247457627118643
"USHAKOVA ISLAND, RS",5,2,,0,5,3,1,0,3,0,2.111111111111111,2.1688798093292476
"OSTROV VIZE, RS",3,2,,5,3,1,4,0,0,3,2.3333333333333335,2.34662775616083
"MGMS IM. G.F. USHAKOVA, RS",4,0,,5,2,1,1,4,0,1,2.0,2.107432651736449
"CAPE PESCHANIY, RS",2,0,,2,6,6,4,1,1,3,2.7777777777777777,2.987755102040816
"BARENTSBURG, SV",1,1,,3,1,5,1,1,2,1,1.7777777777777777,1.822099805573558
"KRASNOFLOTSKIYE ISL, RS",3,2,,0,2,3,2,5,4,1,2.4444444444444446,2.490424076607387
"MALYY TAYMIR ISLAND, RS",1,3,,1,2,4,3,0,1,1,1.7777777777777777,1.7358426585283147
"OSTROV UEDINENIJA, RS",3,2,,3,2,6,1,4,0,3,2.6666666666666665,2.7041978522616335
"ISACHENKO ISLAND, RS",1,4,,3,2,4,4,2,0,0,2.2222222222222223,2.1310251188051597
"RUSSKIY ISLAND, RS",4,0,,5,2,0,0,2,1,0,1.5555555555555556,1.6205613797768008
"SOLNECHNAYA BAY, RS",0,3,,1,0,4,1,2,2,0,1.4444444444444444,1.4440652256351916
"GMO IM.E.K. FEDOROVA, RS",5,2,,2,2,2,3,2,2,2,2.4444444444444446,2.473121761658031
"GEYBERGA ISLAND, RS",4,0,,1,1,2,3,2,1,1,1.6666666666666667,1.7921768707482992
"MYS ZHELANIYA, RS",3,3,,2,2,0,3,2,1,1,1.8888888888888888,1.8229773462783172
"RUSSKAYA GAVAN, RS",4,0,,4,2,2,3,4,5,3,3.0,3.1794871794871793
"PRAVDY ISLAND, RS",1,1,,4,3,2,2,1,3,1,2.0,2.03562945368171
"IZVESTIJ TSIK, RS",4,3,,2,1,2,4,6,2,0,2.6666666666666665,2.662148424262962
"MYS STERLEGOVA, RS",3,1,,8,3,4,5,2,4,1,3.4444444444444446,3.5854700854700856
"LAKE TAJMYR, RS",4,3,,3,5,3,0,1,4,0,2.5555555555555554,2.5353269799539926
"VILKICKOGO ISLAND, RS",2,0,,2,3,1,4,0,1,0,1.4444444444444444,1.6084293948126802
"IM. M.V. POPOVA, RS",2,0,,1,1,5,1,2,3,2,1.8888888888888888,2.0022653721682846
"OSTROV DIKSON, RS",6,1,,3,1,3,5,3,0,6,3.111111111111111,3.2369698931693103
"TAREYA STREAM, RS",7,2,,4,5,1,5,0,0,1,2.7777777777777777,3.187422934648582
"CAPE KASISTY, RS",3,2,,1,3,1,0,1,2,0,1.4444444444444444,1.5169421487603305
"MALYE KARMAKULY, RS",2,3,,2,3,8,3,1,2,2,2.888888888888889,2.8818211172102033
"LESKINO, RS",6,2,,7,2,4,5,2,1,3,3.5555555555555554,3.632008154943935
"CAPE KHARASOVOY, RS",3,0,,6,2,2,3,0,3,1,2.2222222222222223,2.347153668970056
"TAMBEY, RS",2,2,,6,4,1,5,4,3,5,3.5555555555555554,3.634330812232818
"SOPOCHNAYA KARGA, RS",6,0,,3,3,5,7,2,6,2,3.7777777777777777,4.008592200925314
"HATANGA, RS",3,1,,2,3,5,0,2,6,3,2.7777777777777777,2.8901601830663615
"CAPE MENSHIKOVA, RS",2,0,,2,0,4,4,1,0,1,1.5555555555555556,1.6489607390300232
"IM E K FEDOROVA, RS",0,1,,2,0,4,0,1,0,0,0.8888888888888888,0.88268156424581
"GYDA, RS",5,0,,3,2,6,0,4,0,1,2.3333333333333335,2.5076975709887104
"TADIBE YAKHA, RS",4,0,,3,6,5,7,0,5,3,3.6666666666666665,3.8975785340314135
"SEYAHA, RS",4,2,,1,2,1,2,1,0,1,1.5555555555555556,1.5384362680683312
"KRESTI, RS",7,6,,1,0,3,3,4,0,,3.0,3.191883546537274
"KARAUL, RS",5,2,,6,2,3,1,0,1,0,2.2222222222222223,2.8118701007838744
"VOLOCHANKA, RS",3,0,,2,1,1,0,0,0,0,0.7777777777777778,1.9405099150141643
"ANDREYA ISLAND, RS",3,0,,1,2,7,0,1,0,3,1.8888888888888888,2.013136288998358
"ZOHOVA ISLAND, RS",7,0,,4,2,3,4,0,2,2,2.6666666666666665,2.827396373056995
"B. PRONCHISHCHEVOY, RS",2,0,,1,2,2,3,4,2,3,2.111111111111111,2.2319790301441675
"OSTROV KOTEL NYJ, RS",2,0,,2,3,0,1,1,1,1,1.2222222222222223,1.295660621761658
"TEMPA BAY, RS",0,0,,1,0,0,,,,,0.2,0.19795918367346937
"OSTROV PREOBRAZENIJ, RS",2,1,,1,3,3,0,1,1,2,1.5555555555555556,1.588673139158576
"SANNIKOVA, RS",3,0,,4,4,5,3,0,2,2,2.5555555555555554,2.717092337917485
"ZEMLYA BUNGE, RS",1,1,,2,4,2,1,0,3,3,1.8888888888888888,1.9333333333333333
"CAPE TERPAY TUMUS, RS",4,1,,2,3,0,2,2,2,4,2.2222222222222223,2.2784352399737013
"DUNWAY ISLAND, RS",1,0,,6,0,0,4,0,4,2,1.8888888888888888,1.999672667757774
"ANTIPINSKIY, RS",0,0,,5,4,2,3,2,2,0,2.0,2.1995257452574526
"KIGILYAH, RS",2,2,,4,1,2,3,2,1,0,1.8888888888888888,1.8974861247143324
"MYS SHALAUROVA, RS",1,0,,1,0,3,1,0,1,0,0.7777777777777778,0.826580226904376
"URYUNG KHAYA, RS",1,0,,0,0,1,0,1,0,0,0.3333333333333333,0.3467741935483871
"UST OLENEK, RS",1,0,,0,0,2,1,0,3,0,0.7777777777777778,0.8476426799007444
"TAJMYRLYR, RS",0,0,,0,0,2,0,1,2,1,0.6666666666666666,0.831013916500994
"IM YU A HABAROVA, RS",2,0,,0,1,0,0,0,0,0,0.3333333333333333,0.440920716112532
"BYKOVSKI, RS",1,0,,0,0,1,0,0,0,0,0.2222222222222222,0.31650246305418717
"CAPE SVATOJ, RS",3,0,,2,4,1,4,0,1,3,2.0,2.116013071895425
"OZERO MOGOTOYEVO, RS",0,1,,2,1,1,0,0,0,0,0.5555555555555556,0.6635730858468677
"SASKYLAH, RS",1,0,,1,0,1,2,2,3,0,1.1111111111111112,1.2493519958527735
"TYUMYATI, RS",0,0,,1,3,2,1,1,0,0,0.8888888888888888,0.946964643095397
"YAKUTSK, RS",0,0,,,,,,,0,0,0.0,0.0
"TIKSI, RS",3,1,,3,5,4,0,0,0,2,2.0,2.0599093264248705
"MOSTAKH ISLAND, RS",4,0,,5,1,2,3,2,1,2,2.2222222222222223,2.3568152031454783
"KUOGASTAKH, RS",0,0,,1,0,0,0,0,1,0,0.2222222222222222,0.2697616060225847
"UEDEY, RS",5,0,,4,1,1,4,4,3,2,2.6666666666666665,2.8333890933422547
"RUSSKOYE UST YE, RS",1,3,,6,3,2,0,1,2,3,2.3333333333333335,2.288896276595745
"TABOR, RS",1,0,,0,0,0,0,0,0,0,0.1111111111111111,0.17938144329896907
"DZALINDA, RS",20,9,,14,4,29,18,14,9,8,13.88888888888889,14.239872247436544
"KJUSJUR, RS",4,1,,9,4,4,4,3,3,0,3.5555555555555554,3.9830124575311436
"JUBILEJNAJA, RS",3,1,,4,0,0,4,2,0,1,1.6666666666666667,1.7107491856677524
"CHOKURDAH, RS",1,1,,6,5,4,2,0,3,1,2.5555555555555554,2.648412184057032
"ALAZEJA RIVER, RS",0,0,,5,5,3,2,2,1,2,2.2222222222222223,2.356744338693797
"OSTROV CHETYREHSTOLBOVOY, RS",3,3,,0,3,1,1,3,2,1,1.8888888888888888,1.8266925817946227
"VAL KARKAY, RS",1,1,,1,3,4,3,2,1,0,1.7777777777777777,2.0262539184952977
"OSTROV VRANGELYA, RS",0,0,,1,1,3,2,3,0,0,1.1111111111111112,1.17987706243934
"ZVEZDNYY, RS",0,0,,0,0,,,,,,0.0,0.0
"VAIDA GUBA BAY, RS",1,1,,0,1,0,0,0,0,1,0.4444444444444444,0.5879017013232514
"NIKEL, RS",1,1,,3,2,1,0,1,0,3,1.3333333333333333,1.4416666666666667
"PECHENGA, RS",4,1,,0,0,0,0,0,0,0,0.5555555555555556,2.7949367088607593
"PEREVALYAUR, RS",1,2,,2,2,3,0,0,0,2,1.3333333333333333,1.4890162368672397
"BOLSHAYA ZAPADNAYA, RS",1,0,,1,0,1,0,1,1,1,0.6666666666666666,0.7385496183206107
"URA GUBA BAY, RS",1,1,,2,1,2,0,0,1,2,1.1111111111111112,1.2417777777777779
"TERIBERKA, RS",3,3,,1,1,5,0,0,0,1,1.5555555555555556,1.7709320695102686
"DALNE ZELENETSKAYA, RS",2,0,,1,0,2,1,0,0,3,1.0,1.3219424460431655
"KOLGUYEV ISLAND, RS",2,1,,0,1,2,0,0,0,1,0.7777777777777778,0.907563025210084
"VERKHOV E R LOTTA, RS",3,0,,0,0,1,2,1,2,3,1.3333333333333333,1.640597539543058
"YANISKOSKI, RS",2,0,,1,0,1,0,0,1,1,0.6666666666666666,0.9191304347826087
"NIVANKYUL, RS",1,0,,0,0,1,1,0,0,7,1.1111111111111112,1.4578402366863905
"PADUN, RS",1,1,,1,1,1,1,0,2,3,1.2222222222222223,1.3675357443229605
"KOLA, RS",3,2,,0,0,1,0,0,,0,0.75,2.2985781990521326
"MURMANSK, RS",1,2,,6,6,5,4,5,1,7,4.111111111111111,4.237403100775194
