NAME,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,AVERAGE,WEIGHTED_AVERAGE
"HOLBEACH RAF RANGE, UK",2,1,,4,3,9,5,6,4,,4.25,4.332955832389581
"ALCONBURY RAF AND, UK",8.0,6.0,2.0,10.0,12.0,16.0,8.0,10.0,8.0,8.0,8.8,9.002545968882602
"MILDENHALL RAF AND, UK",7,,,32,30,39,28,23,33,34,28.25,29.6520381931693
"LAKENHEATH RAF, UK",6.0,2.0,7.0,32.0,32.0,41.0,29.0,25.0,31.0,34.0,23.9,27.88178488178488
"WOODBRIDGE RAF, UK",6,,,21,28,25,23,11,26,22,20.25,21.096007604562736
"BENTWATERS RAF, UK",0.0,0.0,0.0,16.0,13.0,7.0,14.0,6.0,17.0,21.0,9.4,11.141405729513657
"FAIRFORD, UK",16,,,4,11,11,9,0,0,0,6.375,9.771824202287778
"UPPER HEYFORD RAF, UK",6,,,24,24,23,13,16,17,15,17.25,18.179110177582587
"WETHERSFIELD RAF, UK",5,0,,,,,,5,0,0,2.0,3.957055214723926
"KEFLAVIK, IC",0.0,1.0,0.0,3.0,0.0,6.0,7.0,2.0,4.0,0.0,2.3,2.474709393653786
"GRIMSEY, IC",0,,,1,1,0,0,0,1,1,0.5,0.43041375604513704
"ICELAND SITE, IC",0,,,0,0,1,1,0,0,0,0.25,0.1967990515708358
"PITUFFIK SPACE BASE, GL",0,,,0,0,1,0,0,0,0,0.125,0.124957206436152
"SONDRE STROMFJORD, GL",0,,,3,1,1,0,1,0,0,0.75,0.748710897215538
"DYE 1 RED RIVER, GL",0,,,0,0,1,0,0,1,0,0.25,0.2278749337572867
"KULUSUK LUFTHAVN, GL",0,,,0,0,1,0,1,0,1,0.375,0.3552769070010449
"KASTRUP, DA",9,7,,20,19,14,10,12,24,11,14.0,14.065558633425669
"DUEODDE CAPE, DA",7,7,,7,10,11,8,4,,,7.714285714285714,8.014529914529914
"BRUSSELS NATIONAL, BE",27.0,32.0,28.0,29.0,38.0,30.0,21.0,25.0,28.0,30.0,28.8,28.822278911564627
"BARDENAS REALES, SP",5.0,4.0,3.0,1.0,5.0,4.0,2.0,3.0,3.0,2.0,3.2,3.358108108108108
"ZARAGOZA USAFB, SP",18,,,30,21,24,37,25,12,26,24.125,24.13541309564621
"TORREJON, SP",9.0,26.0,23.0,21.0,24.0,37.0,41.0,21.0,15.0,27.0,24.4,24.404162102957283
"MORON AB, SP",0,,0,0,0,0,0,0,0,0,0.0,0.0
"LAJES, PO",3.0,4.0,8.0,2.0,6.0,8.0,6.0,8.0,12.0,9.0,6.6,6.600219058050383
"UFS TW EMS AUT, GM",5,4,,1,8,9,4,5,0,,4.5,5.044632086851628
"SCHLESWIG, GM",9,12,,42,37,38,18,38,57,47,33.111111111111114,36.05636959144975
"BREMERHAVEN, GM",9,17,,20,17,19,17,15,19,19,16.88888888888889,16.886258837995697
"HAMBURG, GM",11,13,,30,28,22,16,26,28,24,22.0,22.08392253304642
"WARNEMUENDE, GM",9,19,,20,13,15,13,12,21,22,16.0,15.981987577639751
"UECKERMUENDE AUT, GM",10,12,,16,17,12,10,4,4,7,10.222222222222221,10.24873257287706
"EMDEN WOLTHUSEN, GM",2,8,,11,0,,,,,,5.25,7.646929824561403
"EMDEN HAFEN, GM",6,0,,0,12,21,12,12,16,20,11.0,13.454580298965121
"BREMEN, GM",8,18,,16,22,22,16,15,24,22,18.11111111111111,18.101940252540807
"WEISEN B WITTENBERGE, GQ",11,20,,28,23,9,,,,,18.2,19.28154724159797
"MUNSTER TELGTE, GM",13,18,,20,24,16,8,16,18,16,16.555555555555557,16.541666666666668
"HANNOVER, GM",11,24,,31,34,29,20,24,27,30,25.555555555555557,25.564441710243003
"MAGDEBURG, GM",12,19,,17,28,9,,,,,17.0,17.92005076142132
"TEMPELHOF, GM",16,15,,30,14,24,24,31,32,25,23.444444444444443,23.52693136349646
"ESSEN MULHEIM, GM",15,24,,19,36,29,25,23,26,32,25.444444444444443,25.45697602950215
"KAHLER ASTEN MOUNT, GM",26,29,,24,28,28,19,20,20,24,24.22222222222222,24.159827213822894
"KASSEL, GM",21,22,,15,25,19,19,11,19,26,19.666666666666668,19.645826917154295
"BROCKEN PEAK, GM",25,26,,40,37,38,24,32,35,31,32.0,32.11169881767268
"LEIPZIG MOCKAU, GQ",15,16,,,,,,,,,15.5,15.477825464949929
"DRESDEN, GM",14,18,,22,35,10,,,,,19.8,20.961466749533873
"GOERLITZ, GM",13,27,,28,35,30,21,31,32,27,27.11111111111111,27.220519236784487
"KOLN BONN, GM",24,20,,20,36,22,20,23,19,18,22.444444444444443,22.46740467404674
"FULDA USA\AF, GM",13,,,8,15,12,7,8,12,8,10.375,10.322167080231596
"KALTENNORDHEIM AUT, GM",18,33,,31,32,13,,,,,25.4,26.572564612326044
"FICHTELBERG MOUNTAIN, GM",21,28,,23,37,15,,,,,24.8,25.872461928934012
"SPANGDAHLEM AB, GM",23,,,18,23,19,21,19,15,16,19.25,19.24288164665523
"TRIER PETRISBERG, GM",21,24,,24,26,23,21,21,19,21,22.22222222222222,22.197409006785936
"BITBURG US ARMY, GM",22,,,21,23,23,21,19,21,24,21.75,21.74974323861691
"RAMSTEIN AB, GM",19,,,28,22,30,22,18,15,21,21.875,21.875042793563846
"FRANKFURT HAHN, GM",14,,,15,21,21,17,20,17,19,18.0,18.035578583765112
"BAUMHOLDER ARMY AIR FIELD, GM",13.0,9.0,6.0,4.0,5.0,7.0,1.0,6.0,8.0,4.0,6.3,6.521929824561403
"BAD KREUZNACH ARMY AIR FIELD, GM",11,,,6,10,9,6,2,5,3,6.5,6.716748768472907
"FINTHEN USA AF, GM",20,,,13,17,16,13,6,15,5,13.125,13.615971287572902
"WIESBADEN ARMY AIR FIELD, GM",25,26,21,25,29,27,0,,1,0,17.11111111111111,25.06056527590848
"FRANKFURT MAIN, GM",18,20,,24,37,30,20,20,23,27,24.333333333333332,24.36942479237158
"MAURICE ROSE USAHP, GM",13.0,15.0,8.0,5.0,13.0,9.0,7.0,5.0,10.0,5.0,9.0,9.133808392715757
"HANAU ARMY AIR FIELD, GM",28,,,19,32,30,13,7,18,9,19.5,20.464794151596767
"WURZBURG USA AF, GM",19,27,,22,25,29,19,17,22,24,22.666666666666668,22.62049861495845
"WERTHEIM USA HP, GM",14.0,15.0,10.0,8.0,5.0,7.0,10.0,6.0,10.0,8.0,9.3,9.466821885913854
"KITZINGEN, GM",16,,,24,26,31,23,19,23,12,21.75,21.798401112269726
"HOF PLAUEN, GM",21,22,,22,21,21,19,28,21,26,22.333333333333332,22.337950138504155
"GRAFENWOHR ARMY AIR FIELD, GM",18,,,24,22,25,13,20,23,21,20.75,20.745504840940526
