name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,min_lat,max_lat,min_long,max_long,Stations_in_Range,Thunder_Instances,Area_Thunder_Average,Landing_Thunder_above_Average
Acuña,373,Valid,"Iron, IIIAB",217700.0,Found,1981.0,29.31667,-100.96667,"(29.31667, -100.96667)",29.172100147146406,29.461239852853588,-101.13247503823688,-100.8008649617631,"[{'NAME': 'DEL RIO INTERNATIONAL AIRPORT, TX US', 'LATITUDE': 29.3784, 'LONGITUDE': -100.92704}]",22,7.474297074694689,2.943420602652278
Gilzem,10916,Valid,H5,436.0,Found,1987.0,49.87361,6.50556,"(49.87361, 6.50556)",49.72904014714641,50.01817985285359,6.281238327642374,6.729881672357627,"[{'NAME': 'SPANGDAHLEM AB, GM', 'LATITUDE': 49.972667, 'LONGITUDE': 6.6925}, {'NAME': 'TRIER PETRISBERG, GM', 'LATITUDE': 49.75, 'LONGITUDE': 6.667}, {'NAME': 'BITBURG US ARMY, GM', 'LATITUDE': 49.95, 'LONGITUDE': 6.567}]",37,23.782288022180477,1.5557796611281498
