NAME,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,AVERAGE,WEIGHTED_AVERAGE
"LERWICK, UK",0,2,3,1,1,2,2,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3636363636363635,1.4483516483516483
"WICK, UK",0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18181818181818182,0.19977362761743067
"DYCE, UK",0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.23097112860892388
"INCHKEITH, UK",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"TYNEMOUTH, UK",1,2,2,0,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7272727272727273,0.725268669054836
"HOLYHEAD, UK",0,1,2,1,2,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2727272727272727,1.3743360357841767
"CRANWELL, UK",1,6,5,5,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8333333333333335,4.462892119357307
"SPURN HEAD POINT, UK",0,3,1,3,3,2,2,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7272727272727273,1.8247365501941208
"GORLESTON, UK",1,3,1,3,2,1,1,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.272727272727273,2.3271739130434783
"ST. ANNES HEAD, UK",0,0,0,1,1,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5454545454545454,0.5942275042444821
"PURLEY OAKS, UK",1,3,1,1,1,2,2,7,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3636363636363638,2.453999453999454
"LYMPNE, UK",1,3,3,1,3,6,3,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8181818181818183,2.9456491129259366
"SCILLY ST.MARYS, UK",0,2,1,0,0,2,1,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9090909090909091,1.0019358407079646
"PORT PENDENNIS, UK",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"PORTLAND BILL LH, UK",0,0,1,0,,0,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2222222222222222,0.3046495489243581
"GUERNSEY, GK",0,1,0,3,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4545454545454546,1.5473479589003054
"VALENTIA OBSERVATORY, EI",1,1,0,0,0,2,0,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.7983425414364641
"CONNAUGHT, EI",0,0,1,1,0,4,1,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9090909090909091,0.9449489216799092
"MALIN HEAD, EI",4,1,0,5,2,1,2,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5454545454545454,1.4039789997236807
BUOY 52079 ARGOS 3781,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"STORNOWAY, UK",,0,0,0,1,1,0,3,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.113713405238829
"CARDINGTON, UK",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"MAGDEBURG, GM",,,0,,0,,9,3,13,4,12,11,14,,6,,,,,,,,,14,14,6,17,11,7,7,7,9,15,16,19,12,13,19,23,24,19,11.571428571428571,12.459256913658434
"TEMPELHOF, GM",,,19,11,17,14,15,17,20,8,12,9,13,,,,,14,13,12,18,20,19,18,26,19,18,14,19,25,17,21,24,25,19,20,17,23,27,26,21,18.0,18.027146464646464
"ESSEN MULHEIM, GM",,,10,7,9,9,7,20,7,0,9,10,9,6,,,,,,,22,20,25,17,23,21,25,22,19,20,0,11,19,6,18,28,28,26,29,15,27,15.878787878787879,17.055824577432617
"DORTMUND, GM",,,7,6,6,7,9,7,9,19,12,9,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.916666666666666,9.375477880939377
"KOLN BONN, GM",,,13,15,8,14,10,13,12,6,14,12,9,12,12,,,,,,,,,,,,,,,,2,17,7,5,17,15,11,24,19,19,20,12.75,13.184652893622482
"MRZEZYNO, PL",,,9,10,3,7,7,6,10,7,13,12,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.416666666666666,8.811479591836735
"SZCZECIN, PL",,,9,7,9,12,11,8,11,4,16,11,8,,,,,,,,,,,6,10,0,6,10,5,9,12,15,17,20,14,,,,,,,10.0,10.261503067484663
"KHRABROVO, RS",,,7,14,6,13,12,14,16,7,16,3,5,,,,,,,,,,,,,,6,5,8,11,4,16,25,10,18,13,13,15,20,20,10,11.807692307692308,12.1072263667743
"BOISE AIR TERMINAL, ID US",,,0,2,1,2,2,5,3,0,10,0,2,6,13,8,,,,11,16,16,14,17,15,9,4,10,10,15,10,4,9,9,13,12,4,0,6,4,5,7.416666666666667,7.973882811837531
"LIZARD, UK",,,,0,1,1,0,0,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.879773156899811
"AACHEN, GM",,,,7,10,15,11,12,12,8,10,10,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25,10.315506715506716
"TRIER PETRISBERG, GM",,,,3,3,8,3,4,9,11,14,10,14,14,13,,,,,,9,22,18,26,20,6,,,,,2,14,11,11,17,17,20,24,23,15,19,13.10344827586207,13.982554517133956
"PULKOVO, RS",,,,2,2,5,6,6,4,3,,,,,,,,,,,1,4,2,7,2,11,1,4,8,,10,8,14,15,14,10,8,16,14,14,5,7.2592592592592595,7.943589126774116
"TOBOL SK, RS",,,,0,4,0,4,,2,,,,,,,,,,,1,2,7,6,2,4,5,1,5,0,3,1,4,15,11,6,9,17,15,10,8,16,5.851851851851852,7.69716516720421
"TOLMACHEVO, RS",,,,0,0,5,4,5,1,,,,,,,,,0,,1,1,6,6,6,5,7,3,4,0,3,9,6,13,10,5,21,20,12,14,9,12,6.482758620689655,8.251944444444444
"NOVY, RS",,,,0,1,0,4,3,2,,,,,,,,,2,0,4,8,13,5,7,7,3,2,2,3,3,12,14,18,11,13,10,10,10,11,16,8,6.733333333333333,8.384226117008145
"SEMIPALATINSK, KZ",,,,0,0,5,5,7,4,,,,,,,,,,,1,1,2,0,4,3,4,4,0,2,1,14,27,12,12,5,25,16,14,25,6,20,7.821428571428571,10.43241289576406
"MOUNTAIN HOME AFB, ID US",,,,4,0,,,,,,,,,,1,17,13,,,,16,,10,10,7,3,2,3,12,12,14,3,11,8,8,16,19,10,19,9,9,9.44,9.843260188087774
"DAHMESHOVED, GM",,,,,0,2,6,0,,0,,7,6,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,4.222222222222222,5.524541186513018
"NURNBERG, GM",,,,,13,15,14,18,17,10,12,11,7,13,8,,,,,,,,,,,,30,22,20,26,32,24,23,19,26,26,28,35,33,45,21,21.076923076923077,21.417445144470996
"OSTROV DIKSON, RS",,,,,0,0,3,2,,,,,,,,,,,,0,1,0,2,1,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0.6923076923076923,0.7647058823529411
"BEREZOVO, RS",,,,,2,1,0,6,3,,,,,,,,,,,0,0,0,0,0,2,2,0,0,2,0,2,2,4,8,5,2,5,5,5,0,6,2.2962962962962963,3.6474358974358974
"SURGUT, RS",,,,,3,1,1,5,2,,,,,,,,,,,0,0,0,0,4,2,2,4,4,0,2,3,2,7,10,6,,,,,,8,3.0,4.251287611818921
"CHERDYN, RS",,,,,4,3,0,3,4,,,,,,,,,,,2,0,1,3,5,1,3,2,3,0,2,11,4,19,6,8,7,12,18,14,13,12,5.925925925925926,7.694963383649679
"KHANTY MANSIYSK, RS",,,,,0,1,0,2,5,,,,,,,,,,,0,1,2,4,0,2,2,2,6,3,3,6,3,11,6,7,6,8,4,6,12,17,4.407407407407407,5.892161757363954
"JAKUTSK, RS",,,,,0,0,0,0,1,,,,,,,,,,,,,,,,1,3,1,0,1,1,1,4,5,3,1,2,1,10,5,7,7,2.4545454545454546,3.183987549714681
"BOLSHOYE SAVINO, RS",,,,,4,6,9,5,4,,,,,,,,,,,1,,,,,5,3,4,6,5,6,20,9,19,14,10,16,19,18,23,18,10,10.173913043478262,11.970785440613026
"TYUMEN, RS",,,,,0,4,5,6,,,,,,,,,,,,4,2,2,2,1,5,3,5,4,1,2,5,3,18,13,17,,,,,,19,5.761904761904762,7.871813199904694
"KOLTSOVO, RS",,,,,1,4,3,2,9,,,,,,,,,,,4,1,8,4,11,3,3,7,3,3,,14,8,16,13,18,15,15,16,24,9,11,8.653846153846153,10.269300319933231
"TARA, RS",,,,,0,0,1,,0,,,,,,,,,,,0,0,3,4,8,2,7,5,4,4,1,6,3,21,24,6,28,19,7,20,10,15,7.615384615384615,10.876811594202898
"BALANDINO, RS",,,,,0,4,7,3,5,,,,,,,,,,,,,,,,,,3,1,2,0,3,6,14,9,13,,,,,,12,5.466666666666667,7.0980895352152835
"KURGAN, RS",,,,,0,0,0,5,3,,,,,,,,,,,4,0,6,5,7,3,4,7,4,2,1,4,3,18,15,10,24,10,28,22,12,12,7.7407407407407405,10.131095725466587
"PETROPAVLOVSK, KZ",,,,,0,3,3,1,6,,,,,,,,,,,1,3,4,2,3,4,3,1,3,0,4,10,10,16,18,12,20,12,16,12,13,16,7.2592592592592595,9.893415442918048
"OMSK, RS",,,,,1,0,3,3,2,,,,,,,,,,,0,3,5,3,5,3,8,7,4,1,4,6,5,16,13,3,21,10,18,20,9,15,6.962962962962963,9.05902004454343
"UFA, RS",,,,,4,10,2,6,5,,,,,,,,,,,1,3,8,5,10,3,11,4,0,1,1,12,12,26,24,20,21,16,20,24,12,13,10.148148148148149,12.575055803571429
"KOLPASEVO, RS",,,,,0,1,3,1,2,,,,,,,,,,,5,3,6,5,5,7,6,7,3,1,1,7,4,19,18,11,12,26,14,22,11,19,8.11111111111111,10.334276776403993
"JENISEJSK, RS",,,,,3,6,4,4,2,,,,,,,,,,,4,0,2,3,3,1,1,2,1,1,1,5,3,10,9,16,13,15,19,12,8,11,5.888888888888889,7.760893503224792
"TOMSK, RS",,,,,2,2,4,5,,,,,,,,,,,,1,2,9,4,10,5,4,5,2,0,6,10,8,14,17,6,,,,,,10,6.0,7.351258335125833
"KRASNOJARSK, RS",,,,,1,2,1,3,2,,,,,,,,,0,,2,1,5,1,1,3,3,3,5,0,1,10,2,13,8,13,9,11,14,20,10,9,5.464285714285714,7.466677047648708
"BARABINSK, RS",,,,,1,3,3,2,2,,,,,,,,,0,,3,3,8,5,0,7,8,8,2,0,2,5,6,13,9,6,21,18,15,14,11,11,6.642857142857143,8.638508371385084
"NIZNE UDINSK, RS",,,,,0,1,7,4,1,,,,,,,,,,,3,10,8,13,16,7,7,16,3,2,3,25,14,15,21,21,14,23,27,24,21,15,11.88888888888889,14.070168457355086
"KOLCHUGINO, RS",,,,,1,3,,,,,,,,,,,,,,3,2,5,4,3,3,2,2,3,2,2,3,3,13,15,8,,,,,,,4.277777777777778,5.5370109766394595
"BARNAUL, RS",,,,,0,1,2,,,,,,,,,,,,,2,3,8,6,3,4,11,7,4,0,4,12,13,18,16,4,15,16,15,12,11,14,8.04,9.890202429149797
"BIJSK ZONAL NAYA, RS",,,,,1,1,0,0,,,,,,,,,,,,0,1,6,3,2,5,0,2,0,0,1,0,,2,0,,,,,,,10,1.7894736842105263,3.049305244285074
"IRKUTSK, RS",,,,,0,3,1,2,1,,,,,,,,,,,,,,,,2,2,2,2,0,,0,7,6,17,9,9,15,14,16,4,9,5.761904761904762,7.578187796857874
"KADALA, RS",,,,,5,0,1,4,2,,,,,,,,,,,10,14,19,18,12,11,14,8,3,6,5,22,10,14,19,17,23,10,16,13,18,18,11.555555555555555,13.155878634639697
"SRETENSK, RS",,,,,0,2,5,,,,,,,,,,,,,4,3,2,2,9,5,6,5,2,11,5,22,20,23,18,22,15,13,25,16,23,25,11.32,13.239568941696602
"VLADIVOSTOK, RS",,,,,1,0,0,0,0,,,,,,,,,,,2,3,4,5,1,1,1,1,0,0,0,4,4,3,2,5,5,11,3,6,7,9,2.888888888888889,3.630120481927711
"YELIZOVO, RS",,,,,0,2,2,3,2,,,,,,,,,0,1,1,,,,,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,3,0,0.76,0.7286252727633407
"PASHKOVSKIY, RS",,,,,1,2,0,8,3,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,2.0,2.72686230248307
"URALSK, KZ",,,,,0,8,1,2,7,,,,,,,,,,,0,0,1,7,4,2,1,3,0,2,1,9,2,4,0,1,,,,,,12,3.0454545454545454,4.305234021137393
"ORENBURG, RS",,,,,2,2,2,1,3,,,,,,,,,,,,0,5,4,11,7,12,4,2,6,5,15,13,18,20,15,25,12,16,18,11,13,9.307692307692308,10.951486912429766
"AKTYUBINSK, KZ",,,,,2,1,0,0,2,,,,,,,,,,,0,3,4,2,6,1,1,1,0,4,9,15,16,18,11,11,8,7,19,19,16,7,6.777777777777778,8.481217438990951
"IRGIZ, KZ",,,,,0,0,0,,,,,,,,,,,,,0,2,1,1,0,1,0,0,3,0,2,12,14,7,12,4,12,3,4,15,6,13,4.48,6.570664765638924
"PAVLODAR, KZ",,,,,1,5,1,4,3,,,,,,,,,,,0,2,3,2,3,4,4,1,1,0,1,4,12,11,12,6,17,12,10,20,13,19,6.333333333333333,8.098152424942263
"ALMATY, KZ",,,,,3,5,3,5,11,,,,,,,,,0,,5,3,5,3,4,4,1,6,5,0,1,14,15,18,21,23,28,9,20,21,13,16,9.357142857142858,12.418155197657393
"ARMAVIR, RS",,,,,3,9,3,6,7,,,,,,,,,,,0,0,5,11,14,7,13,8,4,8,7,10,0,5,2,0,,,,,,11,6.045454545454546,7.745866364665912
"PJATIGORSK, RS",,,,,2,3,8,2,0,,,,,,,,,,,,0,4,4,0,0,,,,,,0,0,,,,,,,,,,1.9166666666666667,2.756516587677725
"VLADIKAVKAZ, RS",,,,,2,3,8,6,14,,,,,,,,,,,0,0,4,7,7,10,0,,,,,3,18,17,20,31,28,23,22,29,25,17,12.782608695652174,16.19306358381503
"MAHACHKALA, RS",,,,,0,2,3,1,0,,,,,,,,,,,0,1,2,0,1,2,2,3,2,1,6,5,6,1,1,9,5,4,7,5,1,7,2.8518518518518516,3.382618672020651
"TBILISI, GG",,,,,6,5,4,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.388888888888889
"YEREVAN ARABKIR, GG",,,,,0,1,1,3,2,,,,,,,,,,,,0,4,4,8,4,15,7,5,6,9,5,15,12,18,16,10,24,28,33,19,24,10.5,13.580999828208212
"BAKU OBSERVATORY, AJ",,,,,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8333333333333334,1.2104089219330856
"KZYL ORDA, KZ",,,,,1,0,3,1,0,,,,,,,,,,,,,,,,,,,,,,,0,3,6,0,,,,,,2,1.6,1.6937738246505718
"YUZHNY, UZ",,,,,0,0,1,2,2,,,,,,,,,,,1,1,1,2,1,1,9,1,4,1,0,2,1,1,2,6,1,3,1,2,2,8,2.074074074074074,2.514592418651459
"TURKMENBASHI, TX",,,,,0,2,1,1,2,,,,,,,,,,,,,,,,,,,,1,2,1,0,1,0,5,2,2,2,1,1,8,1.7777777777777777,2.1262278978388998
"ESENGULY, TX",,,,,0,0,0,1,2,,,,,,,,,,,,0,1,1,0,3,2,1,1,0,0,0,4,0,1,3,0,5,5,3,3,2,1.4615384615384615,2.105863921217547
"GYZYLARBAT, TX",,,,,0,3,3,0,1,,,,,,,,,,,0,0,0,0,0,0,6,1,0,2,3,0,0,1,6,6,,,,,,3,1.5909090909090908,2.1466261965911744
"DUSHANBE, TI",,,,,0,1,0,0,6,,,,,,,,,,,0,3,4,5,6,5,8,3,1,4,2,3,8,9,13,12,8,7,10,9,13,16,5.777777777777778,7.7096709870388835
"ASHGABAT, TX",,,,,2,1,3,2,3,,,,,,,,,0,,0,3,1,2,5,2,3,1,2,1,2,1,2,3,3,12,1,2,6,6,2,2,2.607142857142857,3.1770915393099104
"GYSHGY, TX",,,,,0,1,1,1,1,,,,,,,,,,,0,0,2,2,3,2,1,0,3,1,1,0,0,2,2,3,2,0,1,4,1,2,1.3333333333333333,1.5643841086045118
"MARCH AFB, CA US",,,,,0,0,0,4,1,6,1,4,2,1,4,3,7,3,4,0,2,3,3,9,3,2,1,2,4,8,3,4,6,1,5,2,10,7,10,4,1,3.5135135135135136,3.517952522255193
"NEURUPPIN, GM",,,,,,0,2,2,4,,,0,,,,,,,,,,,,,,,,,,11,8,14,,,,,,,,,,5.125,7.719268153230417
"FRANKFURT MAIN, GM",,,,,,11,10,13,11,11,13,9,8,17,9,,,3,11,18,14,23,23,22,21,16,24,20,19,17,18,23,16,15,23,23,32,37,27,23,20,17.647058823529413,18.031112220281173
"ZUGSPITZE MOUNTAIN, GM",,,,,,1,0,10,15,10,14,11,10,,,,,,,,22,25,22,22,21,8,,,,,3,27,20,14,,28,10,16,31,18,28,16.083333333333332,17.644787644787645
"GMO IM.E.K. FEDOROVA, RS",,,,,,0,1,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,0.2692307692307692,0.3029459901800327
"TIKSI, RS",,,,,,0,,,,,,,,,,,,,,1,0,0,0,0,2,1,0,0,0,0,2,0,2,1,1,0,0,0,1,0,3,0.6086956521739131,0.7244605690280695
"MARESALE, RS",,,,,,0,0,1,,,,,,,,,,,,0,0,2,2,1,5,0,0,0,1,0,0,2,1,1,1,1,1,1,1,1,5,1.08,1.4042553191489362
"UST PORT UST ENISEISK, RS",,,,,,0,1,0,,,,,,,,,,,,0,3,0,1,1,2,0,0,,,,,,,,,,,,,,,0.7272727272727273,0.7865353037766831
"TURUHANSK, RS",,,,,,2,0,1,1,,,,,,,,,,,,,,,,,,,0,1,1,3,4,5,3,3,9,15,8,8,3,6,4.055555555555555,5.549851699749031
"VERHNEIMBATSK, RS",,,,,,0,1,2,3,,,,,,,,,,,0,0,,,,,,,,0,0,0,2,6,5,6,,,,,,9,2.4285714285714284,4.34375
"SEROV, RS",,,,,,1,4,4,4,,,,,,,,,,,3,2,4,5,8,2,3,3,2,1,1,9,14,30,14,12,12,12,24,19,12,14,8.423076923076923,11.099827613226767
"KOKSHETAY, KZ",,,,,,0,,1,,,,,,,,,,,,1,3,12,11,3,7,6,3,1,1,0,4,1,8,0,0,,,,,,22,4.421052631578948,7.04618320610687
"KANSK, RS",,,,,,0,0,3,,,,,,,,,,0,,2,1,2,2,2,2,2,2,3,0,1,0,0,3,,,,,,,,16,2.1578947368421053,4.076688453159042
"ABAKAN, RS",,,,,,2,0,2,,,,,,,,,,,,,,,,,,,,,,1,6,6,12,6,7,20,15,12,21,18,10,9.2,11.399516324062878
"KIRENSK, RS",,,,,,0,4,2,5,,,,,,,,,,,3,7,9,2,4,3,1,3,4,1,4,9,8,10,14,5,14,18,12,12,8,10,6.615384615384615,7.71218459047362
"BARGUZIN, RS",,,,,,1,2,0,3,,,,,,,,,,,5,2,5,3,3,1,4,1,0,3,1,0,0,3,1,0,7,3,2,12,5,3,2.6923076923076925,3.545675581799236
"BLAGOVESCENSK, RS",,,,,,1,0,4,1,,,,,,,,,2,0,4,8,5,12,9,6,4,3,3,6,6,7,14,13,20,18,9,18,19,24,13,16,8.75,10.836509396766987
"ASTANA INTERNATIONAL, KZ",,,,,,4,1,1,0,,,,,,,,,,,4,0,5,7,4,5,10,2,1,7,5,12,9,18,12,5,,,,,,9,5.761904761904762,6.878536782538399
"TORGAI, KZ",,,,,,0,1,1,,,,,,,,,,,,1,1,0,0,0,0,0,,,2,2,8,3,6,6,2,,,,,,2,1.9444444444444444,3.226229508196721
"EMBA, KZ",,,,,,0,2,2,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,0.5,1.5488721804511278
"KAZALY, KZ",,,,,,0,0,1,0,,,,,,,,,,,1,6,0,0,2,1,1,1,1,2,3,2,2,9,10,6,3,2,3,9,6,3,2.8461538461538463,3.6397217928902625
"KARKARALINSK, KZ",,,,,,0,0,4,5,,,,,,,,,,,,,,,,,,,,1,0,16,20,16,8,7,,,,,,12,7.416666666666667,10.430874647319628
"TURKESTAN, KZ",,,,,,0,1,0,0,,,,,,,,,,,0,1,3,1,1,1,2,1,0,1,2,4,5,6,9,9,4,7,6,12,9,6,3.5,4.637019969278033
"POINT OF AYRE LH, IM",,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4709030100334448
"MANSTON, UK",,,,,,,0,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.2392857142857143
"KIEL HOLTENAU GNVY, GM",,,,,,,6,8,9,7,13,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.285714285714286,8.307879772542648
"NORDERNEY ISLAND, GM",,,,,,,8,8,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,7.129274395329441
"HAMBURG, GM",,,,,,,14,5,9,10,17,8,9,11,10,,,,,,22,30,16,19,22,18,20,16,14,24,1,16,6,11,12,10,5,16,18,17,16,14.066666666666666,14.49976287584179
"HILDESHEIM, GM",,,,,,,4,0,0,5,6,7,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,7.528686327077748
"HANNOVER, GM",,,,,,,11,11,4,14,11,11,10,14,14,,,,,,21,29,18,25,25,22,19,20,14,21,1,19,17,6,18,13,13,27,30,26,21,16.833333333333332,17.309068534645967
"DRESDEN, GM",,,,,,,12,8,22,10,19,23,10,13,6,,,,,,,,,,,,,,,,,0,25,24,28,15,16,23,30,26,18,17.263157894736842,17.972339146121467
"ERFURT, GM",,,,,,,12,16,11,10,18,15,10,9,9,,,,,,,,,,,,,,,,10,6,,,,,,,,,,11.454545454545455,11.456879361914257
"KITZINGEN US ARMY, GM",,,,,,,1,5,0,5,5,9,6,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,5.111111111111111,6.222531293463144
"KARLSRUHE USA AF, GM",,,,,,,8,5,8,3,5,13,7,9,12,,,,,,19,27,20,13,15,15,,,,,0,13,9,11,12,11,23,0,,,,11.217391304347826,12.374567593745676
"LECHFELD, GM",,,,,,,4,6,18,9,13,20,12,15,15,,,19,0,,,,,,,,,,,,,,,,,,,,,,,11.909090909090908,13.436592449177153
"MUNICH, GM",,,,,,,6,13,9,10,12,2,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6.444444444444445,8.41647701411015
"WROCLAW I, PL",,,,,,,6,14,6,13,18,3,10,,,,,,,,,,,5,9,6,8,4,5,12,10,18,20,14,,,,,,,,10.055555555555555,10.244411571334648
"KOLO, PL",,,,,,,11,12,18,16,,2,15,,,,,,,,,,,0,0,3,10,2,4,0,4,12,,,,,,,,,,7.266666666666667,10.37838669950739
"NOVYJ PORT, RS",,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,,,,,,9,1.4,5.285074626865671
"OLEKMINSK, RS",,,,,,,0,0,2,,,,,,,,,,,1,8,3,4,4,1,1,3,4,2,0,7,5,7,4,4,4,7,8,7,12,11,4.36,5.188729250941554
"GURYEVSK, RS",,,,,,,4,5,11,4,4,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,5.777777777777778,5.841181506849315
"VERHNEURAL SK, RS",,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
"BAYDAYEVKA, RS",,,,,,,3,4,5,,,,,,,,,,,4,2,11,3,7,7,7,0,,,,,,,,,,,,,,,4.818181818181818,5.2939494997617915
"EROFEJ PAVLOVIC, RS",,,,,,,0,1,,,,,,,,,,,,0,1,5,4,0,7,2,4,8,6,5,0,1,,,,,,,,,3,2.9375,3.1405216037368624
"KOZYREVSK, RS",,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,1,0.25,0.9579929988331388
"OSTROV BERINGA, RS",,,,,,,1,1,0,,,,,,,,,,,0,0,0,0,0,0,,,0,1,0,0,2,1,3,0,2,0,0,2,4,1,0.782608695652174,1.222053726169844
"KOTEL NIKOVO, RS",,,,,,,2,4,10,,,,,,,,,,,0,0,6,8,18,13,21,8,2,12,8,11,15,15,11,18,,,,,,13,9.75,11.597588978185993
"UIL, KZ",,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,4,0.5,1.6890951276102089
"ATYRAU, KZ",,,,,,,0,1,3,,,,,,,,,,,0,0,1,0,0,3,4,0,1,1,0,5,4,13,8,10,5,10,5,7,4,4,3.56,5.045194892473118
"REPATEK, TX",,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0.0,0.0
"KERKI, TX",,,,,,,0,1,2,,,,,,,,,,,0,0,0,1,1,1,1,0,0,0,1,0,2,4,2,0,,,,,,2,0.9,1.2148362235067438
"MAXWELL AFB, AL US",,,,,,,0,0,35,41,71,42,53,6,46,47,42,45,36,53,58,44,43,48,40,36,55,46,53,42,52,52,63,57,49,71,54,49,47,54,50,45.142857142857146,47.39120770560632
"MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US",,,,,,,3,,20,24,31,27,23,23,20,26,33,21,27,23,17,16,19,27,28,25,12,20,16,24,25,35,27,26,29,23,31,23,12,,,23.0,23.419944942722672
"BILLINGS INTERNATIONAL AIRPORT, MT US",,,,,,,14,24,24,32,18,24,35,0,,,,,,34,27,24,26,18,22,22,17,24,29,21,18,11,13,28,29,16,13,10,8,12,10,20.1,20.796658476658475
"ENRIQUE MALEK INTERNATIONAL, PM",,,,,,,0,0,0,0,0,0,,156,173,155,103,12,25,,,,,,,,,,,,,,,,,,,,,,,52.0,88.36306532663316
"FORSCHUNGS PLATFORM, GM",,,,,,,,4,3,0,4,7,5,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.875,4.654796094198736
"MEIERWIK, GM",,,,,,,,3,4,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8333333333333333,2.386201427438541
"MARIENLEUCHTE, GM",,,,,,,,7,14,1,7,2,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.959928443649374
"ARKONA CAPE, GM",,,,,,,,3,1,3,,,0,,,,,,,,,,,8,11,10,9,10,15,13,10,7,,,,,,,,,,7.6923076923076925,8.446511627906977
"HELGOLAND ISLAND, GM",,,,,,,,2,3,2,6,4,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.857142857142857,4.456081081081081
"WILHELMSHAVEN, GM",,,,,,,,6,8,6,11,10,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.620280474649407
"CUXHAVEN, GM",,,,,,,,2,6,4,8,4,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.142857142857143,5.6645396536007295
"SCHWERIN, GM",,,,,,,,2,0,2,11,,,12,5,,,,,,,,,12,7,10,11,8,12,14,5,11,,,,,,,,,,8.133333333333333,9.699047619047619
