NAME,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,AVERAGE,WEIGHTED_AVERAGE
"WAINWRIGHT LIZ 3, AK US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.03326635409689663
"CAPE SIMPSON POW A, AK US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0.0,0.0
"LONELY, AK US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"ORLEANS, FR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,5,3,4,5,6,15,5,0,,,5.0,5.726597325408618
"PUERTO MONTT B, CI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0.0,0.0
"ELLSWORTH IGY, AY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,0.0,0.0
"BYRD STATION, AY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07692307692307693,0.07675996607294318
"WILKES, AY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,0.0,0.0
"MARBLE POINT, AY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0.0,0.0
"ADARE HALLETT, AY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"LIV, AY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0.0,0.0
"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,38,39,51,37,36,43,36,35,25,30,26,26,35.30769230769231,35.287907869481764
"NORTHEAST PHILADELPHIA AIRPORT, PA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,0,,,,,,,,,,,15.0,22.113884555382214
"CHALONS VATRY FAFB AND, FR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,11,7,2,,,,,6.25,7.394700139470014
