NAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,AVERAGE,WEIGHTED_AVERAGE
"JAN MAYEN NOR NAVY, NO",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,0.19989047097480833
"SORSTOKKEN, NO",6.0,3.0,2.0,7.0,8.0,3.0,4.0,3.0,4.0,7.0,4.7,4.723389596968653
"BRINGELAND, NO",4.0,2.0,4.0,5.0,6.0,1.0,2.0,2.0,11.0,3.0,4.0,4.006119610570236
"FRIGG, NO",1,2,1,0,0,0,0,,,,0.5714285714285714,0.8516510596352883
"HORNSUND, NO",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.10052471692902513
"NY ALESUND, SV",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.10596797671033478
"LONGYEAR, SV",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.10161469933184855
"ANDOYA, NO",2.0,0.0,3.0,3.0,4.0,0.0,6.0,1.0,3.0,1.0,2.3,2.300574869969888
"HEKKINGEN FYR, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BARDUFOSS, NO",1.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,1.6,1.5999452354874042
"TROMSO, NO",2.0,1.0,0.0,6.0,4.0,0.0,4.0,1.0,0.0,2.0,2.0,2.1142052565707132
"BJORNOYA ISLAND, NO",1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6109718741297688
"TORSVAG FYR, NO",1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5002780867630701
"FUGLOYKALVEN FYR, NO",1,0,0,0,,,,,,,0.25,0.31303520456707895
"LYNGEN GJERDVASSBU, NO",0,0,0,,,,,,,,0.0,0.0
"HASVIK, NO",2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.7,0.7078998073217726
"SORKJOSEN, NO",0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4,0.44003690036900367
