NAME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,AVERAGE,WEIGHTED_AVERAGE
WXPOD8270,54,,1,,,,,,,,27.5,40.264788732394365
"WXPOD8278, AF",0,0,0,,,,,,,,0.0,0.0
"JAN MAYEN NOR NAVY, NO",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.20055020632737278
"SORSTOKKEN, NO",3.0,2.0,4.0,7.0,8.0,5.0,3.0,8.0,4.0,2.0,4.6,4.597739361702128
"VERLEGENHUKEN, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HORNSUND, NO",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.09968490403895731
"EDGEOYA, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NY ALESUND, SV",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.20071882775781033
"LONGYEAR, SV",0.0,0.0,0.0,4.0,9.0,4.0,8.0,2.0,3.0,2.0,3.2,3.200438116100767
"ANDOYA, NO",3.0,1.0,3.0,3.0,3.0,8.0,0.0,1.0,1.0,0.0,2.3,2.299561883899233
"HEKKINGEN FYR, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KONGSOYA, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AKSELOYA, SV",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SVARTTANGEN, NO",0,0,0,,,,,,,,0.0,0.0
"SORKAPPOYA, SV",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BARDUFOSS, NO",1.0,0.0,0.0,5.0,4.0,0.0,3.0,0.0,4.0,3.0,2.0,1.9986293859649122
"DRAUGEN, NO",0,0,0,1,0,0,0,0,1,,0.2222222222222222,0.19698526892771498
"TROMSO, NO",0.0,0.0,1.0,2.0,4.0,1.0,0.0,2.0,3.0,2.0,1.5,1.5000685025345937
"BJORNOYA ISLAND, NO",0.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,4.0,1.6,1.6003834565872364
"TORSVAG FYR, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SKIBOTN 2, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
