NAME,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,AVERAGE,WEIGHTED_AVERAGE
"TAFJORD, NO",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1988036593947924
"KVERNBERGET, NO",1.0,4.0,0.0,2.0,1.0,5.0,1.0,2.0,0.0,3.0,1.9,1.8995523223279238
"VEIHOLMEN, NO",0,0,0,0,,0,,,,,0.0,0.0
"INNERDALEN, NO",0,,,0,0,5,2,0,1,1,1.125,1.7674883411059295
"SULA, NO",0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.5,0.4915010083549409
"VINJEORA II, NO",0,,,,0,,0,,,0,0.0,0.0
"FOKSTUA II, NO",4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.9,0.9518890200708382
"ORLAND, NO",10.0,3.0,3.0,8.0,3.0,9.0,9.0,5.0,7.0,9.0,6.6,6.600054749520941
"BERKAK LYNGHOLT, NO",0,,0,0,1,3,3,0,7,1,1.6666666666666667,2.0843611248149974
"TRONDHEIM TYHOLT, NO",0,,,,,,,,,,0.0,0.0
"NORDOYAN FYR, NO",2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.517560787340795
"TYNSET HANSMOEN, NO",1,3,0,0,,,,,,,1.0,1.3171355498721227
"VAERNES, NO",15.0,1.0,1.0,4.0,3.0,11.0,9.0,3.0,11.0,8.0,6.6,6.600219058050383
"STEINKJER, NO",0,0,,0,0,,,,,,0.0,0.0
"NAMDALSEID VENGSTAD, NO",0,,0,0,0,0,0,0,0,0,0.0,0.0
"ROROS, NO",4.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.6,1.6002400960384153
"ROROS AIRPORT, NO",2,4,2,1,1,,,,,,2.0,2.1206349206349207
"NAMSOS AIRPORT, NO",0,0,,0,0,4,4,0,5,5,2.0,3.346338856226617
"HOYLANDET, NO",0,,,,,0,,,,,0.0,0.0
"HELLISOY FYR, NO",0.0,3.0,6.0,4.0,2.0,1.0,0.0,1.0,6.0,3.0,2.6,2.595998805613616
"KINN ISLAND, NO",1,1,3,3,1,3,0,0,1,,1.4444444444444444,1.5229132569558101
"FLESLAND, NO",12.0,15.0,27.0,10.0,9.0,17.0,16.0,8.0,22.0,25.0,16.1,16.098549137695045
