name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,min_lat,max_lat,min_long,max_long,Stations_in_Range,Thunder_Instances,Area_Thunder_Average,Landing_Thunder_above_Average
Louisville,14716,Valid,L6,1300.0,Fell,1977.0,38.25,-85.75,"(38.25, -85.75)",38.10543014714641,38.39456985285359,-85.93409112423649,-85.56590887576353,"[{'NAME': 'LOUISVILLE INTERNATIONAL AIRPORT, KY US', 'LATITUDE': 38.17738, 'LONGITUDE': -85.73077}, {'NAME': 'LOUISVILLE BOWMAN FIELD, KY US', 'LATITUDE': 38.23021, 'LONGITUDE': -85.66294}]",70,45.6513257924337,1.5333618199452572
Stratford,23728,Valid,L6,50.0,Fell,1974.0,41.2,-73.13333,"(41.2, -73.13333)",41.05543014714642,41.3445698528536,-73.32547117176041,-72.94118882823958,"[{'NAME': 'IGOR I SIKORSKY MEMORIAL AIRPORT, CT US', 'LATITUDE': 41.16424, 'LONGITUDE': -73.12664}]",36,21.70016429353779,1.6589736148090195
